pair,n_pre_apoe,apoe_dropped,n_outcome_match,n_post_harm,n_steiger_pass,direction_uncertain
LDL_CAD_EUR,267,6,252,249,251,FALSE
LDL_AIS_EUR,267,6,248,244,245,FALSE
LDL_LAS_EUR,267,6,248,245,185,TRUE
LDL_CES_EUR,267,6,247,244,205,FALSE
LDL_SVS_EUR,267,6,247,243,202,FALSE
HDL_CAD_EUR,3900,17,670,417,661,FALSE
TG_CAD_EUR,427,3,419,411,402,FALSE
TC_CAD_EUR,410,7,387,381,377,FALSE
BMI_T2D_EUR,485,0,483,471,468,FALSE
URATE_GOUT_EUR,88,0,87,87,85,FALSE
SBP_AIS_EUR,408,0,407,398,407,FALSE
DBP_AIS_EUR,411,0,408,399,408,FALSE
LPA_CAVS_EUR,9,0,9,9,9,FALSE
HBA1C_T2D_EUR,33,0,33,32,25,TRUE
HBA1C_T2D_EAS,11,0,11,10,10,FALSE
NC3_LDL_FRACT_EUR,267,6,252,249,249,FALSE
