pair_slot,source,ancestry,n_snps,median_F,min_F,pct_variance_explained
GLGC_LDL_EUR,GLGC,EUR,267,91.9296356196013,40.2374356499063,
GLGC_LDL_EAS,GLGC,EAS,36,48.4491600197103,32.5647101224078,
GLGC_LDL_AFR,GLGC,AFR,51,49.2315956452263,30.0279534786578,
GLGC_HDL_EUR,GLGC,EUR,3900,56.6688169297007,29.720662779463,
GLGC_HDL_EAS,GLGC,EAS,51,54.6379055959916,33.2760449135092,
GLGC_HDL_AFR,GLGC,AFR,440,50.6383018926614,29.7222071420189,
GLGC_TG_EUR,GLGC,EUR,427,58.450651114914,29.8109823003229,
GLGC_TG_EAS,GLGC,EAS,24,63.1445028916437,33.9390850708493,
GLGC_TG_AFR,GLGC,AFR,41,40.8708591065747,29.8357713425345,
GLGC_TC_EUR,GLGC,EUR,410,69.3632425095092,29.7285897553046,
GLGC_TC_EAS,GLGC,EAS,61,63.683354663987,33.4423792057133,
GLGC_TC_AFR,GLGC,AFR,56,54.6209704621139,32.4093760602772,
GIANT_BMI_EUR,GIANT_Yengo2018,EUR,485,50.6608996539793,28.6225,
CKDGen_URATE_EUR,CKDGen_Tin2019,EUR,88,48.7057029453126,29.7577446682108,
CKDGen_URATE_TRANS,CKDGen_Tin2019,EUR,122,49.1516581632653,29.3402777777778,
ICBP_SBP_EUR,ICBP_Evangelou2018,EUR,408,51.8991490466798,29.6712242495049,
ICBP_DBP_EUR,ICBP_Evangelou2018,EUR,411,52.4375743162901,29.6282283057851,
MAGIC_HBA1C_EUR,MAGIC_Chen2021,EUR,33,47.0204081632653,25,
MAGIC_HBA1C_EAS,MAGIC_Chen2021,EAS,11,44.6033163265306,30.6441326530612,
MAGIC_HBA1C_AA,MAGIC_Chen2021,AFR,1,31.2556310236516,31.2556310236516,
SA_LPA_EUR,SinnottArmstrong2021,EUR,9,75.7923875432526,34.3638525564804,
