pair,ancestry,method,b,se,pval,nsnp,C_off_diag,C_diag1,C_diag2
LDL_CAD_EUR,EUR,MR-APSS,0.387968381786924,0.0549631850029551,1.6807e-12,173,0.0274738348297925,0.862227331423595,1.18606748135703
LDL_AIS_EUR,EUR,MR-APSS,0.0232917437640271,0.0553147321741824,0.6737,177,-0.00384790109364451,0.854082481087557,1.02485206961847
LDL_LAS_EUR,EUR,MR-APSS,0.130504649296668,0.124311396835311,0.2938,177,0.00778498292795762,0.854027752594912,1.10639173718883
LDL_CES_EUR,EUR,MR-APSS,-0.155505669960804,0.0992751192711449,0.11725,177,-0.00580390581140667,0.854182765335444,1.05947817797818
LDL_SVS_EUR,EUR,MR-APSS,0.0664047615083073,0.116337490548546,0.56814,177,-2.8597769555432e-05,0.855336070208871,1.07271569795736
HDL_CAD_EUR,EUR,MR-APSS,-0.384924180915877,0.0904508950165908,2.0848e-05,109,-0.0422294480475081,1.19559372010425,1.20411072171703
TG_CAD_EUR,EUR,MR-APSS,0.496836692254982,0.0596226747512965,7.8809e-17,308,0.0369130412280053,1.16800059297348,1.1877246344379
TC_CAD_EUR,EUR,MR-APSS,0.22799482817763,0.0522363063559348,1.2731e-05,264,0.0285126209360036,1.19795669468974,1.18504804969428
BMI_T2D_EUR,EUR,MR-APSS,0.922956899951643,0.0564582065983261,4.5236e-60,423,0.041861233738856,1.19366352757233,1.394215564413
URATE_GOUT_EUR,EUR,MR-APSS,1.21267213415297,0.123751287274693,1.134e-22,63,0.0219984887681254,0.999655931507865,1.07209562158023
HBA1C_T2D_EUR,EUR,MR-APSS,1.32267630019272,0.673453813648467,0.049528,21,0.0355524383425384,0.99141880316834,1.40435191662147
NC3_LDL_FRACT_EUR,EUR,MR-APSS,0.104986603142367,0.0485706971896411,0.030655,173,0.00481787370171056,0.861619488242676,1.06282319682951
LPA_CAVS_EUR,EUR,MR-APSS,0.111958050026453,0.446170422640812,0.80187,5,-0.00502219253510004,1.00904198467485,1.10536043439201
HBA1C_T2D_EAS,EAS,MR-APSS,1.25028157469475,0.688337648046575,0.069312,6,0.0369313161397577,1.00143520046402,1.05531258937108
SBP_AIS_EUR,EUR,MR-APSS,0.0355,0.0031,7.7473e-30,338,0.0458,1.1497,1.0313
DBP_AIS_EUR,EUR,MR-APSS,0.0449,0.0054,1.2653e-16,307,0.0415,1.1422,1.0307
