pair,ancestry,overlap,b_ivw,se_ivw,pval_ivw,b_apss,se_apss,pval_apss,abs_diff_b
BMI_T2D_EUR,EUR,no,0.876117682052138,0.0510833006414011,6.20305333286682e-66,0.922956899951643,0.0564582065983261,4.5236e-60,0.046839217899505
DBP_AIS_EUR,EUR,high,0.0484394360698814,0.00439099786577864,2.69237274685173e-28,0.0449,0.0054,1.2653e-16,0.0035394360698814
HBA1C_T2D_EAS,EAS,no,1.39701239834357,0.891249435710597,0.117003393688128,1.25028157469475,0.688337648046575,0.069312,0.14673082364882
HBA1C_T2D_EUR,EUR,no,1.50558036537531,0.529019243434389,0.00442744028898225,1.32267630019272,0.673453813648467,0.049528,0.18290406518259
HDL_CAD_EUR,EUR,no,-0.0350161522449555,0.01716727512587,0.0413798598165459,-0.384924180915877,0.0904508950165908,2.0848e-05,0.349908028670922
LDL_AIS_EUR,EUR,moderate,0.103544745474598,0.0365510070585626,0.00461301921959585,0.0232917437640271,0.0553147321741824,0.6737,0.0802530017105709
LDL_CAD_EUR,EUR,no,0.429404515228057,0.0381118982353806,1.91093711144394e-29,0.387968381786924,0.0549631850029551,1.6807e-12,0.041436133441133
LDL_CES_EUR,EUR,moderate,0.0390098633365133,0.0645421104416487,0.545571435326915,-0.155505669960804,0.0992751192711449,0.11725,0.194515533297317
LDL_LAS_EUR,EUR,moderate,0.335919803498187,0.0833304062751076,5.54976997551404e-05,0.130504649296668,0.124311396835311,0.2938,0.205415154201519
LDL_SVS_EUR,EUR,moderate,0.0689687837867461,0.0711594320702172,0.332437964734492,0.0664047615083073,0.116337490548546,0.56814,0.0025640222784388
LPA_CAVS_EUR,EUR,no,0.239752613942561,0.0715433377701051,0.000804760577071127,0.111958050026453,0.446170422640812,0.80187,0.127794563916108
NC3_LDL_FRACT_EUR,EUR,no,0.0737814064908163,0.029958558617096,0.0137863613495386,0.104986603142367,0.0485706971896411,0.030655,0.0312051966515507
SBP_AIS_EUR,EUR,high,0.0334844927988825,0.00251107192545782,1.45359403307102e-40,0.0355,0.0031,7.7473e-30,0.0020155072011175
TC_CAD_EUR,EUR,no,0.334284562530268,0.0380964269316283,1.71366260853871e-18,0.22799482817763,0.0522363063559348,1.2731e-05,0.106289734352638
TG_CAD_EUR,EUR,no,0.366634100918594,0.0342714182927483,1.04048821580776e-26,0.496836692254982,0.0596226747512965,7.8809e-17,0.130202591336388
URATE_GOUT_EUR,EUR,no,1.2769755455231,0.058992391990346,6.56539137068844e-104,1.21267213415297,0.123751287274693,1.134e-22,0.06430341137013
