pair,ancestry,method,b,se,pval,nsnp,note
BMI_T2D_EUR,EUR,Inverse variance weighted,0.876117682052138,0.0510833006414011,6.20305333286682e-66,471,""
BMI_T2D_EUR,EUR,MR Egger,1.10434464486396,0.132540345802297,8.83406959040156e-16,471,""
BMI_T2D_EUR,EUR,Weighted median,0.937299956778773,0.0398976330976041,4.85247450370709e-122,471,""
BMI_T2D_EUR,EUR,Weighted mode,0.920818788257799,0.241457388622224,0.000155221989689178,471,""
BMI_T2D_EUR,EUR,MR-Egger intercept,-0.00400174754113982,0.00214540881052696,0.0627690266264622,471,""
BMI_T2D_EUR,EUR,Q (MR Egger),3472.89025044007,469,0,471,"b=Q, se=df"
BMI_T2D_EUR,EUR,Q (Inverse variance weighted),3498.65331194055,470,0,471,"b=Q, se=df"
BMI_T2D_EUR,EUR,MR-PRESSO (raw),0.876117682052138,0.0510833006414011,1.47128767923967e-51,471,""
BMI_T2D_EUR,EUR,MR-PRESSO (outlier-corrected),0.913486114016102,0.0294936049476124,1.13625090115871e-111,432,n_outliers=39
BMI_T2D_EUR,EUR,MR-PRESSO Global,,,<0.001,471,Global pleiotropy test
BMI_T2D_EUR,EUR,Radial-IVW,0.875574692007557,0.0512047521244526,1.49731431992297e-65,471,""
DBP_AIS_EUR,EUR,Inverse variance weighted,0.0484394360698814,0.00439099786577864,2.69237274685173e-28,399,""
DBP_AIS_EUR,EUR,MR Egger,0.0622596345242818,0.010860464459551,1.95910025448676e-08,399,""
DBP_AIS_EUR,EUR,Weighted median,0.0532597577218484,0.00580724653453744,4.67529536198127e-20,399,""
DBP_AIS_EUR,EUR,Weighted mode,0.0683224126524515,0.0262320719056686,0.00954435413146446,399,""
DBP_AIS_EUR,EUR,MR-Egger intercept,-0.00271970155565631,0.00195522330205033,0.165006693318911,399,""
DBP_AIS_EUR,EUR,Q (MR Egger),727.604217126024,397,9.16613742102174e-22,399,"b=Q, se=df"
DBP_AIS_EUR,EUR,Q (Inverse variance weighted),731.150345644645,398,5.5066873224654e-22,399,"b=Q, se=df"
DBP_AIS_EUR,EUR,MR-PRESSO (raw),0.0484394360698814,0.00439099786577864,7.18294860844279e-25,399,""
DBP_AIS_EUR,EUR,MR-PRESSO (outlier-corrected),0.0478914166897983,0.00410301878108212,3.19974428714431e-27,393,n_outliers=6
DBP_AIS_EUR,EUR,MR-PRESSO Global,,,<0.001,399,Global pleiotropy test
DBP_AIS_EUR,EUR,Radial-IVW,0.0484386540275326,0.00439097518442886,2.69600163139903e-28,399,""
HBA1C_T2D_EAS,EAS,Inverse variance weighted,1.39701239834357,0.891249435710597,0.117003393688128,10,""
HBA1C_T2D_EAS,EAS,MR Egger,1.19409185661459,4.83079202619994,0.810991617349247,10,""
HBA1C_T2D_EAS,EAS,Weighted median,0.364816580476686,0.165443556545225,0.0274483528436963,10,""
HBA1C_T2D_EAS,EAS,Weighted mode,0.297483364578696,0.714070341652736,0.686729418004052,10,""
HBA1C_T2D_EAS,EAS,MR-Egger intercept,0.00439297391109217,0.102559152333202,0.966883998066591,10,""
HBA1C_T2D_EAS,EAS,Q (MR Egger),660.992567268842,8,1.78067372087391e-137,10,"b=Q, se=df"
HBA1C_T2D_EAS,EAS,Q (Inverse variance weighted),661.14415881822,9,1.55155065193748e-136,10,"b=Q, se=df"
HBA1C_T2D_EAS,EAS,MR-PRESSO (raw),1.39701239834357,0.891249435710597,0.151446900674768,10,""
HBA1C_T2D_EAS,EAS,MR-PRESSO (outlier-corrected),0.849031875911657,0.283719626480039,0.0958782091072112,3,n_outliers=7
HBA1C_T2D_EAS,EAS,MR-PRESSO Global,,,<0.001,10,Global pleiotropy test
HBA1C_T2D_EAS,EAS,Radial-IVW,1.37836407754017,0.882801437084346,0.118440643682994,10,""
HBA1C_T2D_EUR,EUR,Inverse variance weighted,1.50558036537531,0.529019243434389,0.00442744028898225,32,""
HBA1C_T2D_EUR,EUR,MR Egger,0.848516926621522,0.978757493309274,0.392860245304845,32,""
HBA1C_T2D_EUR,EUR,Weighted median,0.736809406595069,0.124520948555745,3.27563524510843e-09,32,""
HBA1C_T2D_EUR,EUR,Weighted mode,0.695102947174817,0.756766647897852,0.365440140408781,32,""
HBA1C_T2D_EUR,EUR,MR-Egger intercept,0.0123486160904266,0.0154384336368686,0.430079149321768,32,""
HBA1C_T2D_EUR,EUR,Q (MR Egger),1485.7550705785,30,4.29605413807062e-294,32,"b=Q, se=df"
HBA1C_T2D_EUR,EUR,Q (Inverse variance weighted),1517.44024291901,31,5.45449430677565e-300,32,"b=Q, se=df"
HBA1C_T2D_EUR,EUR,MR-PRESSO (raw),1.50558036537531,0.529019243434389,0.00778174807896078,32,""
HBA1C_T2D_EUR,EUR,MR-PRESSO (outlier-corrected),0.937598169304789,0.163817088059978,6.75091136216411e-06,25,n_outliers=7
HBA1C_T2D_EUR,EUR,MR-PRESSO Global,,,<0.001,32,Global pleiotropy test
HBA1C_T2D_EUR,EUR,Radial-IVW,1.51051983640043,0.532564738805839,0.0045637817661639,32,""
HDL_CAD_EUR,EUR,Inverse variance weighted,-0.0350161522449555,0.01716727512587,0.0413798598165459,417,""
HDL_CAD_EUR,EUR,MR Egger,0.0155880107751845,0.0217718383950846,0.474411751740936,417,""
HDL_CAD_EUR,EUR,Weighted median,-0.00178042908662429,0.0171551669175171,0.917340891571912,417,""
HDL_CAD_EUR,EUR,Weighted mode,-0.0251243943254167,0.211529751199423,0.90551114214153,417,""
HDL_CAD_EUR,EUR,MR-Egger intercept,-0.00330966468800275,0.000896705861579942,0.000253247822406218,417,""
HDL_CAD_EUR,EUR,Q (MR Egger),1133.75469275317,415,4.94239435806801e-68,417,"b=Q, se=df"
HDL_CAD_EUR,EUR,Q (Inverse variance weighted),1170.97148827214,416,5.33755547100664e-73,417,"b=Q, se=df"
HDL_CAD_EUR,EUR,MR-PRESSO (raw),-0.0350161522449555,0.01716727512587,0.0420111264594369,417,""
HDL_CAD_EUR,EUR,MR-PRESSO (outlier-corrected),-0.00918121135056316,0.0139105216305029,0.509625205407543,397,n_outliers=20
HDL_CAD_EUR,EUR,MR-PRESSO Global,,,<0.001,417,Global pleiotropy test
