Fbar,beta_obs,rho,max_bias,pct_of_gap
126.7,0.69,0.1,0.00126352258635028,0.117186951956686
126.7,0.69,0.25,0.00315880646587571,0.292967379891715
126.7,0.69,0.5,0.00631761293175142,0.585934759783431
126.7,0.69,1,0.0126352258635028,1.17186951956686
126.7,1.1,0.1,0.000939923533469463,0.0871743609093735
126.7,1.1,0.25,0.00234980883367366,0.217935902273434
126.7,1.1,0.5,0.00469961766734732,0.435871804546867
126.7,1.1,1,0.00939923533469463,0.871743609093735
126.7,1.39,0.1,0.00071103639850498,0.0659459428515182
126.7,1.39,0.25,0.00177759099626245,0.164864857128795
126.7,1.39,0.5,0.0035551819925249,0.329729714257591
126.7,1.39,1,0.0071103639850498,0.659459428515182
126.7,1.79,0.1,0.000395330005450521,0.0366653662199936
126.7,1.79,0.25,0.000988325013626302,0.091663415549984
126.7,1.79,0.5,0.0019766500272526,0.183326831099968
126.7,1.79,1,0.00395330005450521,0.366653662199936
49.7,0.69,0.1,0.00322109279055495,0.298744201467045
49.7,0.69,0.25,0.00805273197638737,0.746860503667613
49.7,0.69,0.5,0.0161054639527747,1.49372100733523
49.7,0.69,1,0.0322109279055495,2.98744201467045
49.7,1.1,0.1,0.00239614309236581,0.222233229923896
49.7,1.1,0.25,0.00599035773091454,0.555583074809739
49.7,1.1,0.5,0.0119807154618291,1.11116614961948
49.7,1.1,1,0.0239614309236581,2.22233229923896
49.7,1.39,0.1,0.0018126420863296,0.168115713466546
49.7,1.39,0.25,0.00453160521582399,0.420289283666366
49.7,1.39,0.5,0.00906321043164799,0.840578567332732
49.7,1.39,1,0.018126420863296,1.68115713466546
49.7,1.79,0.1,0.00100781311248654,0.0934708631805471
49.7,1.79,0.25,0.00251953278121635,0.233677157951368
49.7,1.79,0.5,0.0050390655624327,0.467354315902735
49.7,1.79,1,0.0100781311248654,0.934708631805471
30,0.69,0.1,0.0053362770563527,0.494919560430405
30,0.69,0.25,0.0133406926408818,1.23729890107601
30,0.69,0.5,0.0266813852817635,2.47459780215202
30,0.69,1,0.053362770563527,4.94919560430405
30,1.1,0.1,0.00396961038968603,0.368166384240587
30,1.1,0.25,0.00992402597421508,0.920415960601468
30,1.1,0.5,0.0198480519484302,1.84083192120294
30,1.1,1,0.0396961038968603,3.68166384240587
30,1.39,0.1,0.00300294372301937,0.278511698642912
30,1.39,0.25,0.00750735930754842,0.696279246607279
30,1.39,0.5,0.0150147186150968,1.39255849321456
30,1.39,1,0.0300294372301937,2.78511698642912
30,1.79,0.1,0.00166961038968603,0.154850063335773
30,1.79,0.25,0.00417402597421508,0.387125158339433
30,1.79,0.5,0.00834805194843017,0.774250316678865
30,1.79,1,0.0166961038968603,1.54850063335773
