pair_slot,ancestry,n_snps,total_r2,outcome_id,ncase,nctrl,detectable_or_at_80pct,meets_power_floor
CKDGen_URATE_EUR,EUR,88,0.08145,FinnGen_R12_I9_CHD,56650,443698,1.022,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,FinnGen_R12_I9_AF,63532,252810,1.022,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.056,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,FinnGen_R12_T2D,82878,403489,1.019,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,FinnGen_R12_M13_GOUT,12342,315115,1.046,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.046,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.077,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,AGEN_Spracklen2020_T2D,77418,356122,1.02,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,MEGASTROKE_AS_EUR,40585,406111,1.026,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,MEGASTROKE_AIS_EUR,34217,406111,1.028,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,MEGASTROKE_LAS_EUR,4373,297290,1.078,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,MEGASTROKE_CES_EUR,7193,355468,1.06,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,MEGASTROKE_SVS_EUR,5386,343560,1.07,TRUE
CKDGen_URATE_EUR,EUR,88,0.08145,MEGASTROKE_AIS_TRANS,34217,406111,1.028,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,FinnGen_R12_I9_CHD,56650,443698,1.022,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,FinnGen_R12_I9_AF,63532,252810,1.022,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.054,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,FinnGen_R12_T2D,82878,403489,1.018,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,FinnGen_R12_M13_GOUT,12342,315115,1.045,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.045,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.075,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,AGEN_Spracklen2020_T2D,77418,356122,1.019,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,MEGASTROKE_AS_EUR,40585,406111,1.025,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,MEGASTROKE_AIS_EUR,34217,406111,1.027,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,MEGASTROKE_LAS_EUR,4373,297290,1.076,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,MEGASTROKE_CES_EUR,7193,355468,1.059,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,MEGASTROKE_SVS_EUR,5386,343560,1.068,TRUE
CKDGen_URATE_TRANS,EUR,122,0.08539,MEGASTROKE_AIS_TRANS,34217,406111,1.027,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,FinnGen_R12_I9_CHD,56650,443698,1.028,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,FinnGen_R12_I9_AF,63532,252810,1.028,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.071,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,FinnGen_R12_T2D,82878,403489,1.024,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,FinnGen_R12_M13_GOUT,12342,315115,1.059,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.058,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.099,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,AGEN_Spracklen2020_T2D,77418,356122,1.025,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,MEGASTROKE_AS_EUR,40585,406111,1.033,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,MEGASTROKE_AIS_EUR,34217,406111,1.036,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,MEGASTROKE_LAS_EUR,4373,297290,1.1,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,MEGASTROKE_CES_EUR,7193,355468,1.077,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,MEGASTROKE_SVS_EUR,5386,343560,1.089,TRUE
GIANT_BMI_EUR,EUR,485,0.05051,MEGASTROKE_AIS_TRANS,34217,406111,1.036,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,FinnGen_R12_I9_CHD,56650,443698,1.01,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,FinnGen_R12_I9_AF,63532,252810,1.01,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.026,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,FinnGen_R12_T2D,82878,403489,1.009,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,FinnGen_R12_M13_GOUT,12342,315115,1.021,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.021,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.035,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,AGEN_Spracklen2020_T2D,77418,356122,1.009,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,MEGASTROKE_AS_EUR,40585,406111,1.012,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,MEGASTROKE_AIS_EUR,34217,406111,1.013,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,MEGASTROKE_LAS_EUR,4373,297290,1.036,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,MEGASTROKE_CES_EUR,7193,355468,1.028,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,MEGASTROKE_SVS_EUR,5386,343560,1.032,TRUE
GLGC_HDL_AFR,AFR,440,0.36926,MEGASTROKE_AIS_TRANS,34217,406111,1.013,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,FinnGen_R12_I9_CHD,56650,443698,1.022,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,FinnGen_R12_I9_AF,63532,252810,1.022,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.055,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,FinnGen_R12_T2D,82878,403489,1.019,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,FinnGen_R12_M13_GOUT,12342,315115,1.046,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.045,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.076,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,AGEN_Spracklen2020_T2D,77418,356122,1.02,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,MEGASTROKE_AS_EUR,40585,406111,1.026,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,MEGASTROKE_AIS_EUR,34217,406111,1.028,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,MEGASTROKE_LAS_EUR,4373,297290,1.077,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,MEGASTROKE_CES_EUR,7193,355468,1.06,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,MEGASTROKE_SVS_EUR,5386,343560,1.069,TRUE
GLGC_HDL_EAS,EAS,51,0.08272,MEGASTROKE_AIS_TRANS,34217,406111,1.028,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,FinnGen_R12_I9_CHD,56650,443698,1.007,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,FinnGen_R12_I9_AF,63532,252810,1.007,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.018,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,FinnGen_R12_T2D,82878,403489,1.006,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,FinnGen_R12_M13_GOUT,12342,315115,1.015,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.015,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.025,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,AGEN_Spracklen2020_T2D,77418,356122,1.006,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,MEGASTROKE_AS_EUR,40585,406111,1.008,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,MEGASTROKE_AIS_EUR,34217,406111,1.009,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,MEGASTROKE_LAS_EUR,4373,297290,1.025,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,MEGASTROKE_CES_EUR,7193,355468,1.02,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,MEGASTROKE_SVS_EUR,5386,343560,1.023,TRUE
GLGC_HDL_EUR,EUR,3900,0.74316,MEGASTROKE_AIS_TRANS,34217,406111,1.009,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,FinnGen_R12_I9_CHD,56650,443698,1.02,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,FinnGen_R12_I9_AF,63532,252810,1.02,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.051,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,FinnGen_R12_T2D,82878,403489,1.017,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,FinnGen_R12_M13_GOUT,12342,315115,1.042,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.042,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.07,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,AGEN_Spracklen2020_T2D,77418,356122,1.018,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,MEGASTROKE_AS_EUR,40585,406111,1.024,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,MEGASTROKE_AIS_EUR,34217,406111,1.026,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,MEGASTROKE_LAS_EUR,4373,297290,1.071,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,MEGASTROKE_CES_EUR,7193,355468,1.055,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,MEGASTROKE_SVS_EUR,5386,343560,1.064,TRUE
GLGC_LDL_AFR,AFR,51,0.09736,MEGASTROKE_AIS_TRANS,34217,406111,1.026,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,FinnGen_R12_I9_CHD,56650,443698,1.023,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,FinnGen_R12_I9_AF,63532,252810,1.023,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.058,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,FinnGen_R12_T2D,82878,403489,1.02,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,FinnGen_R12_M13_GOUT,12342,315115,1.048,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.048,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.081,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,AGEN_Spracklen2020_T2D,77418,356122,1.021,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,MEGASTROKE_AS_EUR,40585,406111,1.027,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,MEGASTROKE_AIS_EUR,34217,406111,1.029,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,MEGASTROKE_LAS_EUR,4373,297290,1.082,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,MEGASTROKE_CES_EUR,7193,355468,1.063,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,MEGASTROKE_SVS_EUR,5386,343560,1.073,TRUE
GLGC_LDL_EAS,EAS,36,0.07379,MEGASTROKE_AIS_TRANS,34217,406111,1.029,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,FinnGen_R12_I9_CHD,56650,443698,1.022,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,FinnGen_R12_I9_AF,63532,252810,1.022,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,FinnGen_R12_N14_ACUTERENFAIL,8383,480448,1.056,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,FinnGen_R12_T2D,82878,403489,1.019,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,FinnGen_R12_M13_GOUT,12342,315115,1.046,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,FinnGen_R12_I9_CAVS_OPERATED,12418,487930,1.046,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,FinnGen_R12_ST19_FRACT_FOREA,4439,463106,1.077,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,AGEN_Spracklen2020_T2D,77418,356122,1.02,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,MEGASTROKE_AS_EUR,40585,406111,1.026,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,MEGASTROKE_AIS_EUR,34217,406111,1.028,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,MEGASTROKE_LAS_EUR,4373,297290,1.078,TRUE
GLGC_LDL_EUR,EUR,267,0.0804,MEGASTROKE_CES_EUR,7193,355468,1.061,TRUE
