pair,b_EUR,b_EAS,delta_beta,se_delta,ci90_lo,ci90_hi,margin_m,margin_abs,p_tost,verdict
HBA1C_T2D,1.32267630019272,1.25028157469475,-0.07239472549797,0.962989489473252,-1.65637147997419,1.51158202897825,0.25,0.33066907504818,0.394272460312306,inconclusive
HBA1C_T2D,1.32267630019272,1.25028157469475,-0.07239472549797,0.962989489473252,-1.65637147997419,1.51158202897825,0.1,0.132267630019272,0.47521213536084,inconclusive
HDL_CAD,-0.384924180915877,-0.267647337218927,0.11727684369695,0.131210479241516,-0.0985451889774984,0.333098876371398,0.25,0.0962310452289693,0.563715917398462,inconclusive
HDL_CAD,-0.384924180915877,-0.267647337218927,0.11727684369695,0.131210479241516,-0.0985451889774984,0.333098876371398,0.1,0.0384924180915877,0.725894511133032,inconclusive
LDL_AIS,0.0232917437640271,0.102825481598423,0.0795337378343959,0.102659725845278,-0.089326484564053,0.248393960232845,0.25,0.00582293594100678,0.763624716222054,inconclusive
LDL_AIS,0.0232917437640271,0.102825481598423,0.0795337378343959,0.102659725845278,-0.089326484564053,0.248393960232845,0.1,0.00232917437640271,0.7739875031262,inconclusive
LDL_CAD,0.387968381786924,0.468074747119422,0.080106365332498,0.146823477282867,-0.161396763797853,0.321609494462849,0.25,0.096992095446731,0.454219780185944,inconclusive
LDL_CAD,0.387968381786924,0.468074747119422,0.080106365332498,0.146823477282867,-0.161396763797853,0.321609494462849,0.1,0.0387968381786924,0.610780955449323,inconclusive
TC_CAD,0.22799482817763,0.140388329195677,-0.087606498981953,0.12756892764334,-0.29743871230241,0.122225714338504,0.25,0.0569987070444075,0.594808282594352,inconclusive
TC_CAD,0.22799482817763,0.140388329195677,-0.087606498981953,0.12756892764334,-0.29743871230241,0.122225714338504,0.1,0.022799482817763,0.694278828303304,inconclusive
TG_CAD,0.496836692254982,0.39081260574429,-0.106024086510692,0.214625144841169,-0.459051034437673,0.247002861416289,0.25,0.124209173063746,0.46623821144509,inconclusive
TG_CAD,0.496836692254982,0.39081260574429,-0.106024086510692,0.214625144841169,-0.459051034437673,0.247002861416289,0.1,0.0496836692254982,0.603534372011921,inconclusive
URATE_GOUT,1.21267213415297,2.29088311690581,1.07821098275284,0.284734525791542,0.609864365286315,1.54655760021936,0.25,0.303168033538243,0.996755440128487,different
URATE_GOUT,1.21267213415297,2.29088311690581,1.07821098275284,0.284734525791542,0.609864365286315,1.54655760021936,0.1,0.121267213415297,0.999611454005059,different
