SNP,Q_statistic,p.value
rs10938397,22.0329776898539,2.6800593473858e-06
rs1126313,35.9928907865837,1.98038758121902e-09
rs11615578,16.5952091462194,4.62677497522925e-05
rs11672660,16.2666744537353,5.5023218664363e-05
rs1167800,25.7661752097544,3.85383569221403e-07
rs12027371,63.0309585898672,2.03483030216399e-15
rs12044597,21.8575559511022,2.93657960030814e-06
rs12369179,42.6334545489213,6.60205110991575e-11
rs1260326,52.2439411444378,4.90169424102339e-13
rs1455137,15.8898164777471,6.71390005110739e-05
rs2074314,126.865205444822,1.98829656201238e-29
rs208015,33.4341947501448,7.37164093996502e-09
rs2246012,23.3599189610727,1.34348930457315e-06
rs2605603,16.9394649701899,3.85908833755068e-05
rs2744974,15.3937818382833,8.72750174515426e-05
rs2791653,18.0218114585992,2.18388388928073e-05
rs487060,31.0874117854948,2.4666589908569e-08
rs6090041,33.2698670883779,8.02160286124608e-09
rs6448587,17.3364345888974,3.13125409433594e-05
rs7144011,18.7356989219504,1.50145128432378e-05
rs7239575,15.121910419048,0.00010078672606697
rs7451021,15.3516360818896,8.92436132880969e-05
rs7685520,39.2811902576601,3.66959401278247e-10
rs769449,36.8902005289659,1.24972504413761e-09
rs7903146,1387.71054025746,9.83927651666402e-304
rs8192675,85.521404799597,2.29207007061587e-20
rs9939973,80.8579314736355,2.42542404310299e-19
rs9955276,17.3707970374633,3.07514730780648e-05
